"ID","InternalID","Name","CardType","MonsterType","Attribute","Type","Level","ATK","DEF","Password","Limit","Description"
0,0,"---","Ticket",,,,,,,,0,"(dummy card used internally to represent an invalid card)"
1,439,"7 Colored Fish","Monster","Normal","WATER","Fish",4,1800,800,"23771716",3,"A rare rainbow fish that has never been caught by mortal man."
2,962,"7 Completed","Magic",,,,,,,"86198326",3,"A Machine-type monster equipped with this card increases its ATK and DEF by 700 points."
3,639,"Acid Crawler","Monster","Normal","EARTH","Insect",3,900,700,"77568553",3,"A giant caterpillar that secretes an acid mist that melts anything."
4,684,"Acid Trap Hole","Trap",,,,,,,"41356845",3,"Flip 1 face-down Defense Position monster face-up.  If the monster's DEF is 2000 points or less, the monster is destroyed.  If the DEF is more than 2000 points, return the monster to its face-down Defense Position."
5,471,"Air Eater","Monster","Normal","WIND","Fiend",6,2100,1600,"08353769",3,"A monster that feeds on oxygen, suffocating any who stand near."
6,201,"Air Marmot of Nefariousness","Monster","Normal","EARTH","Beast",2,400,600,"75889523",3,"A horned beaver that dive-bombs enemies with acorns."
7,189,"Akakieisu","Monster","Normal","DARK","Spellcaster",3,1000,800,"38035986",3,"A sorcerer who utters spells that can render monsters unconscious."
8,149,"Akihiron","Monster","Normal","WATER","Aqua",5,1700,1400,"36904469",3,"This strange creature hides in the deep, dark corners of the seven seas."
9,760,"Alligator's Sword","Monster","Normal","EARTH","Beast",4,1500,1200,"64428736",3,"This lizard man can swing a sword at velocities that exceed the speed of sound."
10,812,"Alligator's Sword Dragon","Monster","Fusion","WIND","Dragon",5,1700,1500,"03366982",3,"Baby Dragon+""Alligator's Sword"".  You can Inflict Direct Damage to your opponent's Life Points with this card if the only Attributes of Monster Cards on your opponent's side of the field are EARTH, WATER, or FIRE."
11,737,"Alpha The Magnet Warrior","Monster","Normal","EARTH","Rock",4,1400,1700,"99785935",3,"Alpha, Beta, and Gamma meld as one to form a powerful monster."
12,625,"Amazon of the Seas","Monster","Normal","WATER","Fish",4,1300,1400,"17968114",3,"A mermaid who serves as herald of the Sea King and guards the sanctuary."
13,483,"Ameba","Monster","Effect","WATER","Aqua",1,300,350,"95174353",3,"When this card is face-up on the field and control shifts to your opponent, inflict 2000 points of Direct Damage to your opponent's Life Points. This effect can only be used once as long as this card remains face-up on the field."
14,638,"Amphibious Bugroth","Monster","Fusion","WATER","Aqua",5,1850,1300,"40173854",3,"Ground Attacker Bugroth + Guardian of the Sea"
15,174,"Ancient Brain","Monster","Normal","DARK","Fiend",3,1000,700,"42431843",3,"A fallen fairy that is powerful in the dark."
16,432,"Ancient Elf","Monster","Normal","LIGHT","Spellcaster",4,1450,1200,"93221206",3,"This elf is rumored to have lived for thousands of years. He leads an army of spirits against his enemies."
17,166,"Ancient Jar","Monster","Normal","EARTH","Rock",1,400,200,"81492226",3,"A very fragile jar that contains something ancient and dangerous."
18,629,"Ancient Lizard Warrior","Monster","Normal","EARTH","Reptile",4,1400,1100,"43230671",3,"Before the dawn of man, this lizard warrior ruled supreme."
19,574,"Ancient One of the Deep Forest","Monster","Normal","EARTH","Beast",6,1800,1900,"14015067",3,"This creature adopts the form of a white goat living in the forest, but is actually a Forest Elder."
20,1018,"Ancient Telescope","Magic",,,,,,,"17092736",3,"See the top 5 cards of your opponent's Deck. Return the cards to the Deck in the same order."
21,123,"Ancient Tool","Monster","Normal","DARK","Machine",5,1700,1400,"49587396",3,"A destructive machine discovered in the Ruins of the Ancients."
22,126,"Ansatsu","Monster","Normal","EARTH","Warrior",5,1700,1200,"48365709",3,"A silent and deadly warrior specializing in assassinations."
23,567,"Anthrosaurus","Monster","Normal","EARTH","Dinosaur",3,1000,850,"89904598",3,"Man-like dinosaur with a high I.Q. that is lacking in strength."
24,1022,"Anti Raigeki","Trap",,,,,,,"42364257",3,"When your opponent activates ""Raigeki"", all of your opponent's monsters are destroyed in place of your own."
25,1180,"Anti-Magic Fragrance","Trap",,,,,,,"58921041",3,"As long as this card remains on the field, Magic Cards must always be Set on the field and cannot be activated until a player's following turn."
26,1141,"Appropriate","Trap",,,,,,,"48539234",3,"You can activate this card when your opponent draws a card outside of his/her Draw Phase. Draw 2 cards from your Deck."
27,1178,"Aqua Chorus","Trap",,,,,,,"95132338",3,"If there are Monster Cards of the same name on the field, the ATK and DEF of those cards are increased by 500 points."
