"ID","Name","CardType","MonsterType","Attribute","Type","Level","ATK","DEF","Password","Limit"
1,"7 Colored Fish","Monster","Normal","WATER","Fish",4,1800,800,23771716,3
2,"7 Completed","Magic",,,,,,,86198326,3
3,"Acid Crawler","Monster","Normal","EARTH","Insect",3,900,700,77568553,3
4,"Acid Trap Hole","Trap",,,,,,,41356845,3
5,"Air Eater","Monster","Normal","WIND","Fiend",6,2100,1600,"08353769",3
6,"Air Marmot of Nefariousness","Monster","Normal","EARTH","Beast",2,400,600,75889523,3
7,"Akakieisu","Monster","Normal","DARK","Spellcaster",3,1000,800,38035986,3
8,"Akihiron","Monster","Normal","WATER","Aqua",5,1700,1400,36904469,3
9,"Alligator's Sword","Monster","Normal","EARTH","Beast",4,1500,1200,64428736,3
10,"Alligator's Sword Dragon","Monster","Fusion","WIND","Dragon",5,1700,1500,"03366982",3
11,"Alpha The Magnet Warrior","Monster","Normal","EARTH","Rock",4,1400,1700,99785935,3
12,"Amazon of the Seas","Monster","Normal","WATER","Fish",4,1300,1400,17968114,3
13,"Ameba","Monster","Effect","WATER","Aqua",1,300,350,95174353,3
14,"Amphibious Bugroth","Monster","Fusion","WATER","Aqua",5,1850,1300,40173854,3
15,"Ancient Brain","Monster","Normal","DARK","Fiend",3,1000,700,42431843,3
16,"Ancient Elf","Monster","Normal","LIGHT","Spellcaster",4,1450,1200,93221206,3
17,"Ancient Jar","Monster","Normal","EARTH","Rock",1,400,200,81492226,3
18,"Ancient Lizard Warrior","Monster","Normal","EARTH","Reptile",4,1400,1100,43230671,3
19,"Ancient One of the Deep Forest","Monster","Normal","EARTH","Beast",6,1800,1900,14015067,3
20,"Ancient Telescope","Magic",,,,,,,17092736,3
21,"Ancient Tool","Monster","Normal","DARK","Machine",5,1700,1400,49587396,3
22,"Ansatsu","Monster","Normal","EARTH","Warrior",5,1700,1200,48365709,3
23,"Anthrosaurus","Monster","Normal","EARTH","Dinosaur",3,1000,850,89904598,3
24,"Anti Raigeki","Trap",,,,,,,42364257,3
25,"Anti-Magic Fragrance","Trap",,,,,,,58921041,3
26,"Appropriate","Trap",,,,,,,48539234,3
27,"Aqua Chorus","Trap",,,,,,,95132338,3
28,"Aqua Dragon","Monster","Fusion","WATER","Sea Serpent",6,2250,1900,86164529,3
29,"Aqua Madoor","Monster","Normal","WATER","Spellcaster",4,1200,2000,85639257,3
30,"Arlownay","Monster","Normal","EARTH","Plant",3,800,1000,14708569,3
31,"Arma Knight","Monster","Normal","WATER","Aqua",4,1000,1200,36151751,3
32,"Armaill","Monster","Normal","EARTH","Warrior",3,700,1300,53153481,3
33,"Armed Ninja","Monster","Effect","EARTH","Warrior",1,300,300,"09076207",3
34,"Armored Glass","Trap",,,,,,,36868108,3
35,"Armored Lizard","Monster","Normal","EARTH","Reptile",4,1500,1200,15480588,3
36,"Armored Rat","Monster","Normal","EARTH","Beast",3,950,1100,16246527,3
37,"Armored Starfish","Monster","Normal","WATER","Aqua",4,850,1400,17535588,3
38,"Armored Zombie","Monster","Normal","DARK","Zombie",3,1500,0,20277860,3
39,"Axe of Despair","Magic",,,,,,,40619825,3
40,"Axe Raider","Monster","Normal","EARTH","Warrior",4,1700,1150,48305365,3
41,"B. Dragon Jungle King","Monster","Normal","EARTH","Dragon",6,2100,1800,89832901,3
42,"B. Skull Dragon","Monster","Fusion","DARK","Dragon",9,3200,2500,,3
43,"Baby Dragon","Monster","Normal","WIND","Dragon",3,1200,700,88819587,3
44,"Backup Soldier","Trap",,,,,,,36280194,2
45,"Banisher of the Light","Monster","Effect","LIGHT","Fairy",3,100,2000,61528025,3
46,"Barox","Monster","Fusion","DARK","Fiend",5,1380,1530,6840573,3
47,"Barrel Dragon","Monster","Effect","DARK","Machine",7,2600,2200,81480460,3
48,"Barrel Lily","Monster","Normal","EARTH","Plant",3,1100,600,67841515,3
49,"Barrel Rock","Monster","Normal","EARTH","Rock",4,1000,1300,10476868,3
50,"Basic Insect","Monster","Normal","EARTH","Insect",2,500,700,89091579,3
51,"Battle Ox","Monster","Normal","EARTH","Beast-Warrior",4,1700,1000,5053103,3
52,"Battle Steer","Monster","Normal","EARTH","Beast-Warrior",5,1800,1300,18246479,3
53,"Battle Warrior","Monster","Normal","EARTH","Warrior",3,700,1000,55550921,3
54,"Bean Soldier","Monster","Normal","EARTH","Plant",4,1400,1300,84990171,3
55,"Beast Fangs","Magic",,,,,,,46009906,3
56,"Beastking of the Swamps","Monster","Effect","WATER","Aqua",4,1000,1100,99426834,3
57,"Beastly Mirror Ritual","Magic",,,,,,,,3
58,"Beautiful Headhuntress","Monster","Normal","EARTH","Warrior",4,1600,800,16899564,3
59,"Beaver Warrior","Monster","Normal","EARTH","Beast-Warrior",4,1200,1500,32452818,3
60,"Behegon","Monster","Normal","WATER","Aqua",4,1350,1000,94022093,3
61,"Bell of Destruction","Trap",,,,,,,83555666,2
62,"Beta The Magnet Warrior","Monster","Normal","EARTH","Rock",4,1700,1600,39256679,3
63,"Bickuribox","Monster","Fusion","DARK","Fiend",7,2300,2000,25655502,3
64,"Big Eye","Monster","Effect","DARK","Fiend",4,1200,1000,16768387,3
65,"Big Insect","Monster","Normal","EARTH","Insect",4,1200,1500,53606874,3
66,"Big Shield Gardna","Monster","Effect","EARTH","Warrior",4,100,2600,65240384,3
67,"Binding Chain","Monster","Normal","LIGHT","Fairy",3,1000,1100,8058240,3
68,"Bio Plant","Monster","Normal","DARK","Fiend",3,600,1300,7670542,3
69,"Black Illusion Ritual","Magic",,,,,,,41426869,3
70,"Black Luster Ritual","Magic",,,,,,,,3
71,"Black Luster Soldier","Monster","Ritual","EARTH","Warrior",8,3000,2500,,3
72,"Black Pendant","Magic",,,,,,,65169794,3
73,"Blackland Fire Dragon","Monster","Normal","DARK","Dragon",4,1500,800,87564352,3
74,"Bladefly","Monster","Effect","WIND","Insect",2,600,700,28470714,3
75,"Blast Juggler","Monster","Effect","FIRE","Machine",3,800,900,70138455,3
76,"Blast Sphere","Monster","Effect","DARK","Machine",4,1400,1400,26302522,3
77,"Block Attack","Magic",,,,,,,25880422,3
78,"Blue Medicine","Magic",,,,,,,20871001,3
79,"Blue-Eyed Silver Zombie","Monster","Normal","DARK","Zombie",3,900,700,35282433,3
80,"Blue-Eyes Toon Dragon","Monster","Effect","LIGHT","Dragon",8,3000,2500,53183600,3
81,"Blue-Eyes Ultimate Dragon","Monster","Fusion","LIGHT","Dragon",12,4500,3800,,3
82,"Blue-Eyes White Dragon","Monster","Normal","LIGHT","Dragon",8,3000,2500,89631139,3
83,"Blue-Eyes White Dragon (alternate artwork)","Monster","Normal","LIGHT","Dragon",8,3000,2500,80906030,3
84,"Blue-Winged Crown","Monster","Normal","WIND","Winged Beast",4,1600,1200,41396436,3
85,"Boar Soldier","Monster","Effect","EARTH","Beast-Warrior",4,2000,500,21340051,3
86,"Bolt Escargot","Monster","Normal","WATER","Thunder",5,1400,1500,12146024,3
87,"Book of Secret Arts","Magic",,,,,,,91595718,3
88,"Bottom Dweller","Monster","Normal","WATER","Fish",5,1650,1700,81386177,3
89,"Bracchio-raidus","Monster","Fusion","WATER","Dinosaur",6,2200,2000,16507828,3
90,"Breath of Light","Magic",,,,,,,20101223,3
91,"Bright Castle","Magic",,,,,,,82878489,3
92,"Burglar","Monster","Normal","EARTH","Beast",3,850,800,6297941,3
93,"Burning Spear","Magic",,,,,,,18937875,3
